config,camera,raw,after_disp,excl_nan_spread,excl_alpha,excl_z,excl_var,N
loftr_outdoor@0.0,cam05520126,6937,6937,274,0,0,429,6234
loftr_outdoor@0.0,cam05520129,8463,8463,163,0,0,357,7943
loftr_outdoor@0.0,cam41520554,6239,6236,143,0,0,380,5713
loftr_outdoor@0.0,cam41520556,6531,6525,104,0,0,281,6140
loftr_outdoor@0.0,cam41520557,5752,5749,126,0,0,191,5432
loftr_outdoor@0.2,cam05520126,6937,6937,274,0,0,429,6234
loftr_outdoor@0.2,cam05520129,8463,8463,163,0,0,357,7943
loftr_outdoor@0.2,cam41520554,6239,6236,143,0,0,380,5713
loftr_outdoor@0.2,cam41520556,6531,6525,104,0,0,281,6140
loftr_outdoor@0.2,cam41520557,5752,5749,126,0,0,191,5432
loftr_outdoor@0.5,cam05520126,4604,4604,194,0,0,343,4067
loftr_outdoor@0.5,cam05520129,6224,6224,149,0,0,324,5751
loftr_outdoor@0.5,cam41520554,3944,3944,108,0,0,290,3546
loftr_outdoor@0.5,cam41520556,4621,4621,90,0,0,246,4285
loftr_outdoor@0.5,cam41520557,4083,4083,86,0,0,168,3829
loftr_outdoor@0.8,cam05520126,2751,2751,121,0,0,228,2402
loftr_outdoor@0.8,cam05520129,3819,3819,123,0,0,248,3448
loftr_outdoor@0.8,cam41520554,1809,1809,47,0,0,150,1612
loftr_outdoor@0.8,cam41520556,2526,2526,68,0,0,172,2286
loftr_outdoor@0.8,cam41520557,2615,2615,58,0,0,123,2434
loftr_indoor_new@0.0,cam05520126,379,379,20,0,0,29,330
loftr_indoor_new@0.0,cam05520129,5555,5555,98,0,0,264,5193
loftr_indoor_new@0.0,cam41520554,5133,5133,109,0,0,289,4735
loftr_indoor_new@0.0,cam41520556,5432,5432,83,0,0,233,5116
loftr_indoor_new@0.0,cam41520557,2252,2252,27,0,0,80,2145
loftr_indoor_new@0.2,cam05520126,379,379,20,0,0,29,330
loftr_indoor_new@0.2,cam05520129,5555,5555,98,0,0,264,5193
loftr_indoor_new@0.2,cam41520554,5133,5133,109,0,0,289,4735
loftr_indoor_new@0.2,cam41520556,5432,5432,83,0,0,233,5116
loftr_indoor_new@0.2,cam41520557,2252,2252,27,0,0,80,2145
loftr_indoor_new@0.5,cam05520126,4,4,0,0,0,0,4
loftr_indoor_new@0.5,cam05520129,1454,1454,40,0,0,103,1311
loftr_indoor_new@0.5,cam41520554,1699,1699,61,0,0,126,1512
loftr_indoor_new@0.5,cam41520556,2016,2016,49,0,0,139,1828
loftr_indoor_new@0.5,cam41520557,460,460,3,0,0,19,438
loftr_indoor_new@0.8,cam05520126,0,0,0,0,0,0,0
loftr_indoor_new@0.8,cam05520129,78,78,1,0,0,6,71
loftr_indoor_new@0.8,cam41520554,271,271,7,0,0,22,242
loftr_indoor_new@0.8,cam41520556,332,332,10,0,0,32,290
loftr_indoor_new@0.8,cam41520557,5,5,0,0,0,1,4
mast3r,cam05520126,2138,2135,79,0,0,85,1971
mast3r,cam05520129,2274,2274,28,0,0,55,2191
mast3r,cam41520554,2199,2199,27,0,0,77,2095
mast3r,cam41520556,2264,2264,22,0,0,46,2196
mast3r,cam41520557,2259,2256,32,0,0,39,2185
sift_m3_baseline,cam05520126,300,,,,,,234
sift_m3_baseline,cam05520129,446,,,,,,340
sift_m3_baseline,cam41520554,291,,,,,,244
sift_m3_baseline,cam41520556,380,,,,,,296
sift_m3_baseline,cam41520557,258,,,,,,231
