rel_spread_th,gate_var_rel,chain,n_disp,N,excl_depth_nan,excl_true_nan,excl_spread,excl_alpha,excl_z,excl_var
0.05,0.02,A,78,26,31,0,31,0,0,21
0.05,0.02,B,66,14,36,0,36,0,0,16
0.05,0.02,C,73,19,39,0,39,0,0,15
0.05,0.04,A,78,32,31,0,31,0,0,15
0.05,0.04,B,66,22,36,0,36,0,0,8
0.05,0.04,C,73,22,39,0,39,0,0,12
0.05,0.08,A,78,36,31,0,31,0,0,11
0.05,0.08,B,66,24,36,0,36,0,0,6
0.05,0.08,C,73,26,39,0,39,0,0,8
0.10,0.02,A,78,26,22,0,22,0,0,30
0.10,0.02,B,66,14,32,0,32,0,0,20
0.10,0.02,C,73,19,31,0,31,0,0,23
0.10,0.04,A,78,33,22,0,22,0,0,23
0.10,0.04,B,66,22,32,0,32,0,0,12
0.10,0.04,C,73,22,31,0,31,0,0,20
0.10,0.08,A,78,38,22,0,22,0,0,18
0.10,0.08,B,66,24,32,0,32,0,0,10
0.10,0.08,C,73,26,31,0,31,0,0,16
0.15,0.02,A,78,26,14,0,14,0,0,38
0.15,0.02,B,66,14,29,0,29,0,0,23
0.15,0.02,C,73,19,22,0,22,0,0,32
0.15,0.04,A,78,33,14,0,14,0,0,31
0.15,0.04,B,66,22,29,0,29,0,0,15
0.15,0.04,C,73,22,22,0,22,0,0,29
0.15,0.08,A,78,39,14,0,14,0,0,25
0.15,0.08,B,66,24,29,0,29,0,0,13
0.15,0.08,C,73,26,22,0,22,0,0,25
0.20,0.02,A,78,26,8,0,8,0,0,44
0.20,0.02,B,66,14,21,0,21,0,0,31
0.20,0.02,C,73,19,17,0,17,0,0,37
0.20,0.04,A,78,33,8,0,8,0,0,37
0.20,0.04,B,66,22,21,0,21,0,0,23
0.20,0.04,C,73,22,17,0,17,0,0,34
0.20,0.08,A,78,39,8,0,8,0,0,31
0.20,0.08,B,66,24,21,0,21,0,0,21
0.20,0.08,C,73,26,17,0,17,0,0,30
