config,chain,raw,after_disp,excl_nan_spread,excl_alpha,excl_z,excl_var,N
loftr_outdoor@0.0,A,3235,3211,464,0,0,482,2265
loftr_outdoor@0.0,B,2019,1991,312,0,0,326,1353
loftr_outdoor@0.0,C,1990,1949,249,0,0,295,1405
loftr_outdoor@0.2,A,3235,3211,464,0,0,482,2265
loftr_outdoor@0.2,B,2019,1991,312,0,0,326,1353
loftr_outdoor@0.2,C,1990,1949,249,0,0,295,1405
loftr_outdoor@0.5,A,1082,1080,165,0,0,168,747
loftr_outdoor@0.5,B,598,598,87,0,0,87,424
loftr_outdoor@0.5,C,643,642,77,0,0,113,452
loftr_outdoor@0.8,A,245,245,42,0,0,45,158
loftr_outdoor@0.8,B,122,122,18,0,0,23,81
loftr_outdoor@0.8,C,191,191,18,0,0,41,132
loftr_indoor_new@0.0,A,1816,1816,375,0,0,308,1133
loftr_indoor_new@0.0,B,570,570,96,0,0,87,387
loftr_indoor_new@0.0,C,738,738,122,0,0,127,489
loftr_indoor_new@0.2,A,1816,1816,375,0,0,308,1133
loftr_indoor_new@0.2,B,570,570,96,0,0,87,387
loftr_indoor_new@0.2,C,738,738,122,0,0,127,489
loftr_indoor_new@0.5,A,197,197,51,0,0,28,118
loftr_indoor_new@0.5,B,60,60,10,0,0,7,43
loftr_indoor_new@0.5,C,77,77,14,0,0,16,47
loftr_indoor_new@0.8,A,2,2,0,0,0,0,2
loftr_indoor_new@0.8,B,1,1,0,0,0,0,1
loftr_indoor_new@0.8,C,2,2,0,0,0,1,1
mast3r,A,2299,2299,301,0,0,257,1741
mast3r,B,2105,2105,287,0,0,238,1580
mast3r,C,2218,2218,296,0,0,272,1650
sift_m4_baseline,A,,,,,,,26
sift_m4_baseline,B,,,,,,,14
sift_m4_baseline,C,,,,,,,19
