ObjectName,camera_name,X,Y
基準_01,camSony2,240,402
基準_03,camSony2,128,430
基準_04,camSony2,9,470
基準_104,camSony2,943,464	
基準_106,camSony2,700,454
基準_116,camSony2,244,539
基準_117,camSony2,405,327
基準_201,camSony2,10,13
基準_202,camSony2,127,95
基準_203,camSony2,248,96
基準_204,camSony2,153,213
基準_205,camSony2,291,199
基準_206,camSony2,293,139
基準_207,camSony2,436,121
基準_208,camSony2,481,232
基準_209,camSony2,552,184
基準_210,camSony2,620,142
基準_211,camSony2,599,139	
基準_212,camSony2,639,22
基準_213,camSony2,616,21
基準_214,camSony2,940,29
基準_215,camSony2,803,503
基準_216,camSony2,641,432
基準_217,camSony2,631,377
基準_218,camSony2,556,390
基準_219,camSony2,294,383
基準_220,camSony2,210,515
基準_221,camSony2,153,476
